YEAR,TEAM,BARTHAG,BADJ EM,WAB
2026,Duke,0.995,31.5,7.9
2026,Siena,0.492,-0.2,0.5
2026,Ohio State,0.849,10.4,3.5
2026,TCU,0.83,9.5,3.7
2026,St. John's,0.927,15.3,5.8
2026,Northern Iowa,0.708,5.3,1.6
2026,Kansas,0.935,16.0,6.0
2026,California Baptist,0.737,6.2,2.0
2026,Louisville,0.889,12.5,4.8
2026,South Florida,0.79,7.9,2.6
2026,Michigan State,0.953,18.0,6.8
2026,North Dakota State,0.653,3.8,1.6
2026,UCLA,0.874,11.6,4.3
2026,UCF,0.81,8.7,3.0
2026,UConn,0.978,22.7,7.2
2026,Furman,0.558,1.4,0.8
2026,Arizona,0.994,30.8,7.7
2026,Long Island,0.533,0.8,1.0
2026,Villanova,0.843,10.1,3.6
2026,Utah State,0.832,9.6,3.9
2026,Wisconsin,0.913,14.1,5.1
2026,High Point,0.734,6.1,1.8
2026,Arkansas,0.947,17.3,6.5
2026,Hawaii,0.7,5.1,1.9
2026,BYU,0.886,12.3,4.6
2026,Texas/NC State,0.25,-8.0,-2.0
2026,Gonzaga,0.96,19.1,6.2
2026,Kennesaw State,0.622,3.0,1.4
2026,Miami (FL),0.872,11.5,4.4
2026,Missouri,0.802,8.4,2.9
2026,Purdue,0.974,21.7,7.0
2026,Queens,0.579,1.9,1.2
2026,Florida,0.989,27.1,7.4
2026,Prairie View A&M/Lehigh,0.25,-8.0,-2.0
2026,Clemson,0.83,9.5,3.6
2026,Iowa,0.836,9.8,3.2
2026,Vanderbilt,0.918,14.5,5.7
2026,McNeese,0.746,6.5,2.2
2026,Nebraska,0.932,15.7,5.8
2026,Troy,0.661,4.0,1.4
2026,North Carolina,0.895,12.8,4.7
2026,VCU,0.793,8.0,2.8
2026,Illinois,0.96,19.1,6.2
2026,Penn,0.622,3.0,1.3
2026,Saint Mary's,0.862,11.0,4.1
2026,Texas A&M,0.774,7.4,2.8
2026,Houston,0.983,24.4,7.4
2026,Idaho,0.514,0.3,0.1
2026,Michigan,0.993,30.0,7.8
2026,UMBC/Howard,0.25,-8.0,-2.0
2026,Georgia,0.817,9.0,3.1
2026,Saint Louis,0.832,9.6,3.5
2026,Texas Tech,0.911,13.9,5.3
2026,Akron,0.731,6.0,1.8
2026,Alabama,0.939,16.4,6.1
2026,Hofstra,0.675,4.3,1.3
2026,Tennessee,0.877,11.8,4.5
2026,Miami (OH)/SMU,0.25,-8.0,-2.0
2026,Virginia,0.954,18.1,6.8
2026,Wright State,0.615,2.8,1.3
2026,Kentucky,0.868,11.3,4.0
2026,Santa Clara,0.8,8.3,3.0
2026,Iowa State,0.969,20.6,6.9
2026,Tennessee State,0.537,0.9,0.6
