YEAR,TEAM,KADJ O,KADJ D,KADJ EM,K TEMPO,KADJ T,ELITE SOS
2026,Duke,123.0,91.5,31.5,,,9.0
2026,Siena,108.8,109.0,-0.2,,,0.6
2026,Ohio State,113.5,103.1,10.4,,,3.6
2026,TCU,112.8,103.3,9.5,,,3.7
2026,St. John's,115.6,100.3,15.3,,,6.3
2026,Northern Iowa,109.9,104.6,5.3,,,1.8
2026,Kansas,115.8,99.8,16.0,,,5.8
2026,California Baptist,111.2,105.0,6.2,,,2.0
2026,Louisville,114.0,101.5,12.5,,,4.8
2026,South Florida,111.6,103.7,7.9,,,2.6
2026,Michigan State,116.5,98.5,18.0,,,6.8
2026,North Dakota State,109.9,106.1,3.8,,,1.8
2026,UCLA,113.9,102.3,11.6,,,4.4
2026,UCF,112.0,103.3,8.7,,,3.1
2026,UConn,118.6,95.9,22.7,,,7.5
2026,Furman,108.6,107.2,1.4,,,1.0
2026,Arizona,121.8,91.0,30.8,,,8.8
2026,Long Island,109.0,108.2,0.8,,,1.1
2026,Villanova,113.7,103.6,10.1,,,3.8
2026,Utah State,113.1,103.5,9.6,,,3.8
2026,Wisconsin,114.6,100.5,14.1,,,5.0
2026,High Point,111.0,104.9,6.1,,,1.7
2026,Arkansas,118.0,100.7,17.3,,,6.5
2026,Hawaii,110.6,105.5,5.1,,,1.9
2026,BYU,116.5,104.2,12.3,,,4.6
2026,Texas/NC State,101.0,110.0,-9.0,65.0,65.0,0.0
2026,Gonzaga,118.4,99.3,19.1,,,6.2
2026,Kennesaw State,109.5,106.5,3.0,,,1.4
2026,Miami (FL),114.0,102.5,11.5,,,4.3
2026,Missouri,112.1,103.7,8.4,,,2.9
2026,Purdue,119.4,97.7,21.7,,,7.4
2026,Queens,109.0,107.1,1.9,,,1.1
2026,Florida,118.7,91.6,27.1,,,7.8
2026,Prairie View A&M/Lehigh,101.0,110.0,-9.0,65.0,65.0,0.0
2026,Clemson,113.4,103.9,9.5,,,3.6
2026,Iowa,112.5,102.7,9.8,,,3.3
2026,Vanderbilt,117.5,103.0,14.5,,,5.7
2026,McNeese,111.8,105.3,6.5,,,2.1
2026,Nebraska,115.2,99.5,15.7,,,5.6
2026,Troy,109.8,105.8,4.0,,,1.6
2026,North Carolina,115.8,103.0,12.8,,,4.8
2026,VCU,112.6,104.6,8.0,,,2.8
2026,Illinois,119.6,100.5,19.1,,,6.1
2026,Penn,109.8,106.8,3.0,,,1.5
2026,Saint Mary's,112.5,101.5,11.0,,,4.0
2026,Texas A&M,111.2,103.8,7.4,,,2.8
2026,Houston,116.8,92.4,24.4,,,8.0
2026,Idaho,108.2,107.9,0.3,,,0.4
2026,Michigan,121.0,91.0,30.0,,,8.9
2026,UMBC/Howard,101.0,110.0,-9.0,65.0,65.0,0.0
2026,Georgia,113.0,104.0,9.0,,,3.0
2026,Saint Louis,112.9,103.3,9.6,,,3.1
2026,Texas Tech,115.4,101.5,13.9,,,5.2
2026,Akron,112.0,106.0,6.0,,,1.9
2026,Alabama,119.2,102.8,16.4,,,6.0
2026,Hofstra,110.3,106.0,4.3,,,1.5
2026,Tennessee,112.8,101.0,11.8,,,4.4
2026,Miami (OH)/SMU,101.0,110.0,-9.0,65.0,65.0,0.0
2026,Virginia,115.0,96.9,18.1,,,6.6
2026,Wright State,109.5,106.7,2.8,,,1.5
2026,Kentucky,114.4,103.1,11.3,,,4.1
2026,Santa Clara,112.8,104.5,8.3,,,3.0
2026,Iowa State,117.6,97.0,20.6,,,7.0
2026,Tennessee State,108.7,107.8,0.9,,,0.8
