YEAR,TEAM,ELO,R SCORE,RESUME
2026,Duke,1909.68,3.97,1.6
2026,Siena,1426.0,1.02,149.0
2026,Ohio State,1634.9,3.35,32.6
2026,TCU,1638.72,3.32,33.8
2026,St. John's,1805.23,3.76,12.0
2026,Northern Iowa,1495.0,2.3,84.8
2026,Kansas,1686.32,3.68,16.2
2026,California Baptist,1489.0,2.38,80.8
2026,Louisville,1629.11,3.51,24.4
2026,South Florida,1610.68,3.12,43.8
2026,Michigan State,1705.11,3.75,12.4
2026,North Dakota State,1473.0,1.95,102.4
2026,UCLA,1663.38,3.42,29.0
2026,UCF,1545.42,3.2,40.2
2026,UConn,1743.27,3.84,7.8
2026,Furman,1424.0,0.78,160.8
2026,Arizona,1903.89,3.96,2.2
2026,Long Island,1419.0,0.7,165.2
2026,Villanova,1610.29,3.4,30.2
2026,Utah State,1661.89,3.46,26.8
2026,Wisconsin,1696.19,3.6,20.0
2026,High Point,1490.0,2.61,69.4
2026,Arkansas,1758.59,3.76,12.0
2026,Hawaii,1487.0,2.0,100.2
2026,BYU,1619.36,3.51,24.4
2026,Texas/NC State,1380.0,-2.0,300.0
2026,Gonzaga,1747.01,3.75,12.6
2026,Kennesaw State,1450.0,1.09,145.4
2026,Miami (FL),1616.41,3.42,29.0
2026,Missouri,1539.24,3.03,48.4
2026,Purdue,1767.19,3.87,6.6
2026,Queens,1422.0,0.92,154.2
2026,Florida,1786.41,3.9,4.8
2026,Prairie View A&M/Lehigh,1380.0,-2.0,300.0
2026,Clemson,1614.89,3.36,31.8
2026,Iowa,1549.57,3.18,41.0
2026,Vanderbilt,1686.14,3.76,12.0
2026,McNeese,1583.45,2.92,54.0
2026,Nebraska,1650.11,3.68,16.2
2026,Troy,1462.0,1.74,113.2
2026,North Carolina,1649.41,3.57,21.4
2026,VCU,1682.47,3.35,32.6
2026,Illinois,1673.8,3.67,16.4
2026,Penn,1452.0,1.69,115.4
2026,Saint Mary's,1675.67,3.5,25.0
2026,Texas A&M,1555.68,3.12,43.8
2026,Houston,1777.42,3.89,5.4
2026,Idaho,1432.0,0.2,189.8
2026,Michigan,1872.09,3.96,2.2
2026,UMBC/Howard,1380.0,-2.0,300.0
2026,Georgia,1572.01,3.29,35.6
2026,Saint Louis,1574.54,3.28,36.0
2026,Texas Tech,1659.65,3.62,19.2
2026,Akron,1624.24,3.0,50.2
2026,Alabama,1677.92,3.69,15.6
2026,Hofstra,1498.0,2.25,87.6
2026,Tennessee,1612.45,3.5,25.0
2026,Miami (OH)/SMU,1380.0,-2.0,300.0
2026,Virginia,1761.56,3.82,9.0
2026,Wright State,1460.0,1.44,128.2
2026,Kentucky,1612.68,3.4,30.0
2026,Santa Clara,1616.29,3.24,37.8
2026,Iowa State,1719.04,3.78,11.0
2026,Tennessee State,1438.0,1.29,135.6
