YEAR,TEAM,SEED,CURRENT ROUND,BY ROUND NO
2026,Duke,1,64,32
2026,Siena,16,64,32
2026,Ohio State,8,64,31
2026,TCU,9,64,31
2026,St. John's,5,64,30
2026,Northern Iowa,12,64,30
2026,Kansas,4,64,29
2026,California Baptist,13,64,29
2026,Louisville,6,64,28
2026,South Florida,11,64,28
2026,Michigan State,3,64,27
2026,North Dakota State,14,64,27
2026,UCLA,7,64,26
2026,UCF,10,64,26
2026,UConn,2,64,25
2026,Furman,15,64,25
2026,Arizona,1,64,24
2026,Long Island,16,64,24
2026,Villanova,8,64,23
2026,Utah State,9,64,23
2026,Wisconsin,5,64,22
2026,High Point,12,64,22
2026,Arkansas,4,64,21
2026,Hawaii,13,64,21
2026,BYU,6,64,20
2026,Texas/NC State,11,64,20
2026,Gonzaga,3,64,19
2026,Kennesaw State,14,64,19
2026,Miami (FL),7,64,18
2026,Missouri,10,64,18
2026,Purdue,2,64,17
2026,Queens,15,64,17
2026,Florida,1,64,16
2026,Prairie View A&M/Lehigh,16,64,16
2026,Clemson,8,64,15
2026,Iowa,9,64,15
2026,Vanderbilt,5,64,14
2026,McNeese,12,64,14
2026,Nebraska,4,64,13
2026,Troy,13,64,13
2026,North Carolina,6,64,12
2026,VCU,11,64,12
2026,Illinois,3,64,11
2026,Penn,14,64,11
2026,Saint Mary's,7,64,10
2026,Texas A&M,10,64,10
2026,Houston,2,64,9
2026,Idaho,15,64,9
2026,Michigan,1,64,8
2026,UMBC/Howard,16,64,8
2026,Georgia,8,64,7
2026,Saint Louis,9,64,7
2026,Texas Tech,5,64,6
2026,Akron,12,64,6
2026,Alabama,4,64,5
2026,Hofstra,13,64,5
2026,Tennessee,6,64,4
2026,Miami (OH)/SMU,11,64,4
2026,Virginia,3,64,3
2026,Wright State,14,64,3
2026,Kentucky,7,64,2
2026,Santa Clara,10,64,2
2026,Iowa State,2,64,1
2026,Tennessee State,15,64,1
