team,R64,R32,S16,E8,F4,FINALS,CHAMP
Akron,1.0,0.3015,0.112,0.043,0.0325,0.024,0.0125
Alabama,1.0,0.2805,0.1995,0.1295,0.0835,0.034,0.019
Alabama St.,1.0,0.183,0.166,0.1415,0.1245,0.106,0.0885
Arizona,1.0,0.6985,0.4465,0.304,0.145,0.064,0.038
Arkansas,1.0,0.4185,0.2405,0.157,0.099,0.0505,0.027
Auburn,1.0,0.817,0.391,0.1585,0.0885,0.041,0.0185
BYU,1.0,0.455,0.2385,0.1015,0.054,0.026,0.0115
Baylor,1.0,0.467,0.344,0.1755,0.0925,0.051,0.026
Bryant,1.0,0.2825,0.0845,0.0845,0.037,0.0285,0.019
Clemson,1.0,0.3065,0.1395,0.093,0.0445,0.0275,0.0125
Colorado St.,1.0,0.455,0.301,0.1905,0.1225,0.0655,0.036
Connecticut,1.0,0.4735,0.3515,0.1905,0.0985,0.052,0.0245
Creighton,1.0,0.437,0.2065,0.0985,0.0655,0.031,0.019
Drake,1.0,0.4135,0.224,0.133,0.0595,0.031,0.017
Duke,1.0,0.262,0.1315,0.058,0.025,0.013,0.0055
Florida,1.0,0.246,0.1165,0.066,0.034,0.015,0.0065
Georgia,1.0,0.429,0.307,0.1355,0.0765,0.042,0.0185
Gonzaga,1.0,0.571,0.447,0.165,0.07,0.0405,0.015
Grand Canyon,1.0,0.2955,0.1195,0.077,0.0485,0.0185,0.0125
High Point,1.0,0.341,0.1935,0.128,0.1015,0.0555,0.0285
Houston,1.0,0.2745,0.1325,0.06,0.0285,0.011,0.004
Illinois,1.0,0.4035,0.182,0.082,0.044,0.018,0.0055
Iowa St.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Kansas,1.0,0.5815,0.3225,0.192,0.09,0.0505,0.0195
Kentucky,1.0,0.3905,0.22,0.108,0.0545,0.0305,0.0075
Liberty,1.0,0.34,0.1065,0.0515,0.031,0.0135,0.005
Lipscomb,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Louisville,1.0,0.563,0.2365,0.112,0.0635,0.0335,0.015
Marquette,1.0,0.49,0.32,0.32,0.1655,0.079,0.0335
Maryland,1.0,0.7045,0.3205,0.191,0.09,0.04,0.0165
McNeese St.,1.0,0.6935,0.4725,0.304,0.1685,0.096,0.048
Memphis,1.0,0.545,0.259,0.1575,0.0755,0.035,0.0145
Michigan,1.0,0.469,0.181,0.064,0.0345,0.014,0.006
Michigan St.,1.0,0.7175,0.3605,0.3605,0.179,0.078,0.0345
Mississippi,1.0,0.3745,0.0,0.0,0.0,0.0,0.0
Mississippi St.,1.0,0.533,0.3975,0.2085,0.0945,0.0465,0.018
Missouri,1.0,0.5865,0.241,0.1065,0.0405,0.017,0.0075
Montana,1.0,0.3345,0.172,0.0965,0.0595,0.029,0.014
Mount St. Mary's,1.0,0.738,0.127,0.0485,0.03,0.0155,0.0115
Nebraska Omaha,1.0,0.2825,0.1895,0.1065,0.0625,0.031,0.0135
New Mexico,1.0,0.51,0.235,0.235,0.1315,0.055,0.0295
Norfolk St.,1.0,0.754,0.382,0.066,0.027,0.0175,0.011
North Carolina,1.0,0.6255,0.0,0.0,0.0,0.0,0.0
Oklahoma,1.0,0.5265,0.15,0.0615,0.021,0.0075,0.004
Oregon,1.0,0.66,0.335,0.111,0.0525,0.018,0.0065
Purdue,1.0,0.659,0.1945,0.0885,0.041,0.0155,0.0075
Robert Morris,1.0,0.7195,0.2615,0.1195,0.074,0.0285,0.0135
SIU Edwardsville,1.0,0.7255,0.1135,0.026,0.019,0.011,0.0085
Saint Mary's,1.0,0.3855,0.2325,0.1205,0.046,0.026,0.0085
St. John's,1.0,0.7175,0.2475,0.1425,0.041,0.011,0.007
Tennessee,1.0,0.274,0.1905,0.1165,0.027,0.01,0.002
Texas A&M,1.0,0.311,0.177,0.071,0.0245,0.0145,0.007
Texas Tech,1.0,0.3545,0.1445,0.0645,0.0275,0.01,0.0055
Troy,1.0,0.6095,0.331,0.1925,0.09,0.047,0.0235
UC San Diego,1.0,0.531,0.19,0.0895,0.033,0.0135,0.0095
UCLA,1.0,0.445,0.1395,0.059,0.0235,0.008,0.0035
UNC Wilmington,1.0,0.6455,0.3905,0.098,0.063,0.0365,0.018
Utah St.,1.0,0.555,0.1865,0.0775,0.027,0.0125,0.005
VCU,1.0,0.545,0.3505,0.168,0.0695,0.029,0.011
Vanderbilt,1.0,0.6145,0.3065,0.1355,0.07,0.0295,0.012
Wisconsin,1.0,0.6655,0.239,0.129,0.0405,0.0195,0.005
Wofford,1.0,0.726,0.4835,0.2555,0.142,0.089,0.0555
Xavier,1.0,0.5965,0.267,0.109,0.0425,0.019,0.008
Yale,1.0,0.689,0.452,0.265,0.053,0.0175,0.009
